article,efo,count,dbName,dbId
PMC4319901,"Nodule",1,,EFO_0001013
PMC4319901,"Benign",1,,EFO_0002751
PMC4319901,"differentiated",1,,EFO_0002954
PMC4319901,"study design",1,,EFO_0001426
PMC4319901,"renal tubule",1,,EFO_0003666
PMC4319901,"duration",1,,EFO_0000433
PMC4322175,"dose",25,,EFO_0000428
PMC4322175,"weight",22,,EFO_0004338
PMC4322175,"seed",18,,EFO_0000991
PMC4322175,"Female",16,,EFO_0001265
PMC4322175,"duration",14,,EFO_0000433
PMC4322175,"newborns",13,,EFO_0001372
PMC4322175,"corpus",9,,EFO_0000382
PMC4322175,"ovaries",9,,EFO_0000973
PMC4322175,"males",7,,EFO_0001266
PMC4322175,"pregnancy",7,,EFO_0002950
PMC4322175,"reproductive system",5,,EFO_0000809
PMC4322175,"software",5,,EFO_0002029
PMC4322175,"g/kg",4,,EFO_0002897
PMC4322175,"embryo",4,,EFO_0000436
PMC4322175,"Adult",3,,EFO_0001272
PMC4322175,"temperature",3,,EFO_0001702
PMC4322175,"saline",2,,EFO_0002677
PMC4322175,"insomnia",1,,EFO_0004698
PMC4322175,"Wistar",1,,EFO_0001342
PMC4322175,"dorsal",1,,EFO_0001656
PMC4322175,"procedures",1,,EFO_0002571
PMC4322175,"axis",1,,EFO_0001040
PMC4322175,"hand",1,,EFO_0000877
PMC4327056,"Fruit",244,,EFO_0001028
PMC4327056,"Nose",132,,EFO_0000828
PMC4327056,"cultivar",50,,EFO_0005136
PMC4327056,"array",12,,EFO_0002698
PMC4327056,"acids",8,,EFO_0004416
PMC4327056,"precursor",5,,EFO_0001651
PMC4327056,"substrates",3,,EFO_0005061
PMC4327056,"Alpha",3,,EFO_0001270
PMC4327056,"genotypes",3,,EFO_0000513
PMC4327056,"flowers",2,,EFO_0001024
PMC4327056,"injury",2,,EFO_0000546
PMC4327056,"environmental factors",2,,EFO_0000469
PMC4327056,"metabolites",2,,EFO_0004727
PMC4327056,"atmosphere",2,,EFO_0000273
PMC4327056,"European",2,,EFO_0003156
PMC4327056,"duration",2,,EFO_0000433
PMC4327056,"Chinese",2,,EFO_0003157
PMC4327056,"cold",2,,EFO_0000341
PMC4327056,"fast",2,,EFO_0002756
PMC4327056,"exposure",1,,EFO_0000487
PMC4327056,"temperature",1,,EFO_0001702
PMC4327056,"ocimene",1,,EFO_0003191
PMC4327056,"random",1,,EFO_0004189
PMC4327056,"longevity",1,,EFO_0004300
PMC4327056,"pathogens",1,,EFO_0000643
PMC4327056,"weight",1,,EFO_0004338
PMC4327056,"ovary",1,,EFO_0000973
PMC4327056,"bulbs",1,,EFO_0001048
PMC4327056,"transgenic",1,,EFO_0004020
PMC4327056,"disease",1,,EFO_0000408
PMC4327056,"Ecotype",1,,EFO_0000434
PMC4327928,"acid",24,,EFO_0004416
PMC4327928,"substrate",23,,EFO_0005061
PMC4327928,"backbone",9,,EFO_0001369
PMC4327928,"temperatures",7,,EFO_0001702
PMC4327928,"deletion",2,,EFO_0004014
PMC4327928,"exposure",1,,EFO_0000487
PMC4327928,"inversion",1,,EFO_0004017
PMC4327928,"benign",1,,EFO_0002751
PMC4327928,"stem",1,,EFO_0001040
PMC4327928,"weight",1,,EFO_0004338
PMC4327928,"root",1,,EFO_0000989
PMC4327928,"strain",1,,EFO_0005135
PMC4327928,"random",1,,EFO_0004189
PMC4327928,"height",1,,EFO_0004339
PMC4339706,"acid",18,,EFO_0004416
PMC4339706,"Dental caries",10,,EFO_0003819
PMC4339706,"dose",4,,EFO_0000428
PMC4339706,"temperature",4,,EFO_0001702
PMC4339706,"tooth",3,,EFO_0000839
PMC4339706,"flowers",2,,EFO_0001024
PMC4339706,"aerial parts",2,,EFO_0001901
PMC4339706,"seed",2,,EFO_0000991
PMC4339706,"disease",1,,EFO_0000408
PMC4339706,"stems",1,,EFO_0001040
PMC4339706,"weight",1,,EFO_0004338
PMC4339706,"American",1,,EFO_0003151
PMC4339706,"replicates",1,,EFO_0000683
PMC4339706,"media",1,,EFO_0000579
PMC4339706,"dietary",1,,EFO_0002755
PMC4339706,"Ocimene",1,,EFO_0003191
PMC4344607,"precursors",26,,EFO_0001651
PMC4344607,"metabolites",18,,EFO_0004727
PMC4344607,"transcriptome",15,,EFO_0004421
PMC4344607,"temperature",6,,EFO_0001702
PMC4344607,"labeling",4,,EFO_0000562
PMC4344607,"genome",4,,EFO_0004420
